Location Type,Incident Zip,City,Borough,Latitude,Longitude,num_calls
Residential Building/House,11222,BROOKLYN,BROOKLYN,40.72998331,-73.95762316,30
House of Worship,10002,NEW YORK,MANHATTAN,40.7215366,-73.98762948,30
Park/Playground,11218,BROOKLYN,BROOKLYN,40.63975221,-73.96766852,25
Store/Commercial,10013,NEW YORK,MANHATTAN,40.71450243,-73.99812784,12
Street/Sidewalk,11206,BROOKLYN,BROOKLYN,40.69742251,-73.93479065,24
Club/Bar/Restaurant,11106,ASTORIA,QUEENS,40.75614579,-73.92879555,17
Store/Commercial,10022,NEW YORK,MANHATTAN,40.7572476,-73.96828648,12
Residential Building/House,11209,BROOKLYN,BROOKLYN,40.61960115,-74.02782628,12
House of Worship,11211,BROOKLYN,BROOKLYN,40.71177784,-73.95193553,22
Park/Playground,11222,BROOKLYN,BROOKLYN,40.72099783,-73.94087523,16
Store/Commercial,11211,BROOKLYN,BROOKLYN,40.7167266,-73.9589122,20
Street/Sidewalk,11220,BROOKLYN,BROOKLYN,40.64051333,-74.01508315,38
Club/Bar/Restaurant,10002,NEW YORK,MANHATTAN,40.72228596,-73.98807308,12
Store/Commercial,11222,BROOKLYN,BROOKLYN,40.72934923,-73.95749728,10
Residential Building/House,11421,WOODHAVEN,QUEENS,40.69464039,-73.84847981,90
House of Worship,11214,BROOKLYN,BROOKLYN,40.59915804,-73.9892546,12
Park/Playground,10040,NEW YORK,MANHATTAN,40.86049954,-73.92775111,10
Store/Commercial,11105,ASTORIA,QUEENS,40.77578986,-73.90248607,70
Street/Sidewalk,11223,BROOKLYN,BROOKLYN,40.59812047,-73.96278419,22
Club/Bar/Restaurant,11385,RIDGEWOOD,QUEENS,40.70518692,-73.90619969,28
Store/Commercial,10036,NEW YORK,MANHATTAN,40.75979023,-73.98792559,11
Residential Building/House,11415,KEW GARDENS,QUEENS,40.70963675,-73.83002488,393
House of Worship,11238,BROOKLYN,BROOKLYN,40.68723335,-73.95690033,91
Park/Playground,11102,ASTORIA,QUEENS,40.77298743,-73.91638663,44
Store/Commercial,11231,BROOKLYN,BROOKLYN,40.68681048,-74.00182811,12
Street/Sidewalk,10002,NEW YORK,MANHATTAN,40.71757069,-73.99050532,75
Club/Bar/Restaurant,10026,NEW YORK,MANHATTAN,40.80649425,-73.95384302,28
Store/Commercial,11103,ASTORIA,QUEENS,40.76426695,-73.9157911,27
Residential Building/House,11204,BROOKLYN,BROOKLYN,40.61136982,-73.97348455,16
House of Worship,11421,WOODHAVEN,QUEENS,40.68585026,-73.86501746,140
Park/Playground,10458,BRONX,BRONX,40.86627931,-73.88619945,12
